title,price,location,rooms,size_sqm,url
Nähe Naschmarkt: Historischer Altbau trifft modernes Wohngefühl - 3 Zimmerwohnung im Dachgeschoßausbau,€ 549.000,"Wien, 05. Bezirk, Margareten",3,68,https://www.willhaben.at/iad/immobilien/eigentumswohnung/immobilien/d/eigentumswohnung/wien/wien-1050-margareten/naehe-naschmarkt-historischer-altbau-trifft-modernes-wohngefuehl-3-zimmerwohnung-im-dachgeschossausbau-994384838/
**Hannovermarkt** Renovation Opportunity: 3-Room Period Apartment with Approved Balcony and Airbnb Potentia,€ 274.900,"Wien, 20. Bezirk, Brigittenau",3,69,https://www.willhaben.at/iad/immobilien/eigentumswohnung/immobilien/d/eigentumswohnung/wien/wien-1200-brigittenau/-hannovermarkt-renovation-opportunity-3-room-period-apartment-with-approved-balcony-and-airbnb-potentia-1548201136/
Gestalten Sie nach Ihrem Geschmack - Sanierungsbedürftige 3 Zimmer Altbauwohnung in der Clusiusgasse!,€ 461.250,"Wien, 09. Bezirk, Alsergrund",3,70,https://www.willhaben.at/iad/immobilien/eigentumswohnung/immobilien/d/eigentumswohnung/wien/wien-1090-alsergrund/gestalten-sie-nach-ihrem-geschmack-sanierungsbeduerftige-3-zimmer-altbauwohnung-in-der-clusiusgasse-1562393641/
**Hannovermarkt** Renovation Opportunity: 3-Room Period Apartment with Approved Balcony - Airbnb Suitable,€ 268.900,"Wien, 20. Bezirk, Brigittenau",3,68,https://www.willhaben.at/iad/immobilien/eigentumswohnung/immobilien/d/eigentumswohnung/wien/wien-1200-brigittenau/-hannovermarkt-renovation-opportunity-3-room-period-apartment-with-approved-balcony-airbnb-suitable-1540274454/
**Hannovermarkt** Renovation Opportunity: Charming 3-Room Period Apartment with Balcony and Airbnb Potential,€ 248.900,"Wien, 20. Bezirk, Brigittenau",3,63,https://www.willhaben.at/iad/immobilien/eigentumswohnung/immobilien/d/eigentumswohnung/wien/wien-1200-brigittenau/-hannovermarkt-renovation-opportunity-charming-3-room-period-apartment-with-balcony-and-airbnb-potential-1787610854/
Gepflegte und ruhige Hochparterre Wohnung Nähe Alois Drasche Park,€ 539.000,"Wien, 04. Bezirk, Wieden",3,82,https://www.willhaben.at/iad/immobilien/eigentumswohnung/immobilien/d/eigentumswohnung/wien/wien-1040-wieden/gepflegte-und-ruhige-hochparterre-wohnung-naehe-alois-drasche-park-1756486918/
Altbau-Flair - Sanierte 3-Zimmer Wohnung - 3. Bezirk Nähe Landstraße,€ 499.000,"Wien, 03. Bezirk, Landstraße",3,75,https://www.willhaben.at/iad/immobilien/eigentumswohnung/immobilien/d/eigentumswohnung/wien/wien-1030-landstrasse/altbau-flair-sanierte-3-zimmer-wohnung-3-bezirk-naehe-landstrasse-809518959/
The Legacy,ab € 345.000,"Wien, 03. Bezirk, Landstraße",0,,https://www.willhaben.at/iad/immobilien/eigentumswohnung/immobilien/d/neubauprojekt/wien/wien-1030-landstrasse/the-legacy-733594036/
Leibenfrostgasse 8 - Zwischen Sehnsucht und Realität,ab € 375.000,"Wien, 04. Bezirk, Wieden",0,,https://www.willhaben.at/iad/immobilien/eigentumswohnung/immobilien/d/neubauprojekt/wien/wien-1040-wieden/leibenfrostgasse-8-zwischen-sehnsucht-und-realitaet-1482268857/
Die Hainburg - Innenstadt Oase mit Grünblick in absoluter Ruhelage,ab € 249.000,"Wien, 03. Bezirk, Landstraße",0,,https://www.willhaben.at/iad/immobilien/eigentumswohnung/immobilien/d/neubauprojekt/wien/wien-1030-landstrasse/die-hainburg-innenstadt-oase-mit-gruenblick-in-absoluter-ruhelage-1987803692/
